"uv_GPS_Merge_val_ID","Collar_ID","Object_ID","PubName","GMT_date","LMT_date","Longitude","Latitude","Height","Locale_N","Locale_E","Locale_H","DOP","Nav","Sats_used","Validated","Main","Bkup","Temp","Valid_pos","Sex"
1211084,"05586","W9403","Grivla (5586)",29-8-2009 4:00:19,29-8-2009 5:00:19,14.82,61.51,429.05,6823116.48,1447596.77,396.85,3.60,"3D",5,"Yes",3.40,3.58,18.00,2,"F"
1211085,"05586","W9403","Grivla (5586)",29-8-2009 4:30:12,29-8-2009 5:30:12,14.82,61.51,428.86,6823015.87,1447615.40,396.66,3.40,"3D",5,"Yes",3.38,3.58,17.00,2,"F"
1211086,"05586","W9403","Grivla (5586)",29-8-2009 5:00:48,29-8-2009 6:00:48,14.82,61.51,432.38,6823118.32,1447622.77,400.18,2.00,"3D",7,"Yes",3.38,3.58,18.00,2,"F"
1211087,"05586","W9403","Grivla (5586)",29-8-2009 5:30:11,29-8-2009 6:30:11,14.82,61.51,443.50,6823158.70,1447618.94,411.30,5.00,"3D",5,"Yes",3.38,3.56,19.00,2,"F"
1211088,"05586","W9403","Grivla (5586)",29-8-2009 6:00:11,29-8-2009 7:00:11,14.82,61.52,428.93,6823463.58,1447959.22,396.74,4.80,"3D",5,"Yes",3.38,3.58,20.00,2,"F"
1211089,"05586","W9403","Grivla (5586)",29-8-2009 6:30:24,29-8-2009 7:30:24,14.82,61.52,426.89,6823519.91,1447949.60,394.70,2.40,"3D",7,"Yes",3.38,3.58,21.00,2,"F"
1211090,"05586","W9403","Grivla (5586)",29-8-2009 7:00:08,29-8-2009 8:00:08,14.82,61.52,428.19,6823521.71,1447949.89,396.00,4.80,"3D",5,"Yes",3.38,3.58,22.00,2,"F"
1211091,"05586","W9403","Grivla (5586)",29-8-2009 7:30:39,29-8-2009 8:30:39,14.82,61.52,460.25,6823427.13,1447937.89,428.06,2.60,"3D",6,"Yes",3.38,3.58,22.00,2,"F"
1211092,"05586","W9403","Grivla (5586)",29-8-2009 8:00:23,29-8-2009 9:00:23,14.82,61.52,435.23,6823290.88,1447653.88,403.03,2.20,"3D",5,"Yes",3.38,3.58,22.00,2,"F"
1211093,"05586","W9403","Grivla (5586)",29-8-2009 8:30:48,29-8-2009 9:30:48,14.82,61.52,429.24,6823303.82,1447666.16,397.04,2.40,"3D",5,"Yes",3.38,3.54,21.00,2,"F"
1211094,"05586","W9403","Grivla (5586)",29-8-2009 9:00:08,29-8-2009 10:00:08,14.82,61.52,433.10,6823218.06,1447596.60,400.90,2.80,"3D",5,"Yes",3.38,3.56,23.00,2,"F"
1211095,"05586","W9403","Grivla (5586)",29-8-2009 9:30:16,29-8-2009 10:30:16,14.82,61.51,430.61,6823143.84,1447677.09,398.41,2.40,"3D",5,"Yes",3.38,3.56,24.00,2,"F"
1211096,"05586","W9403","Grivla (5586)",29-8-2009 10:00:41,29-8-2009 11:00:41,14.82,61.51,455.76,6823130.16,1447875.02,423.57,6.40,"3D",5,"Yes",3.38,3.58,25.00,2,"F"
1211097,"05586","W9403","Grivla (5586)",29-8-2009 10:30:32,29-8-2009 11:30:32,14.82,61.51,431.15,6823131.49,1447873.28,398.96,1.80,"3D",5,"Yes",3.38,3.58,21.00,2,"F"
1211098,"05586","W9403","Grivla (5586)",29-8-2009 11:00:42,29-8-2009 12:00:42,14.82,61.51,429.13,6823128.86,1447878.07,396.94,2.00,"3D",5,"Yes",3.38,3.58,22.00,2,"F"
1211099,"05586","W9403","Grivla (5586)",29-8-2009 11:31:06,29-8-2009 12:31:06,14.82,61.51,424.86,6823047.54,1447951.83,392.67,2.80,"3D",6,"Yes",3.38,3.58,22.00,2,"F"
1211100,"05586","W9403","Grivla (5586)",29-8-2009 12:01:30,29-8-2009 13:01:30,14.82,61.51,438.83,6822584.30,1447759.13,406.64,5.80,"3D",4,"No",3.38,3.58,24.00,2,"F"
1211101,"05586","W9403","Grivla (5586)",29-8-2009 12:30:23,29-8-2009 13:30:23,14.81,61.51,453.93,6822367.79,1447480.20,421.74,2.80,"3D",7,"Yes",3.38,3.56,24.00,2,"F"
1211102,"05586","W9403","Grivla (5586)",29-8-2009 13:00:18,29-8-2009 14:00:18,14.81,61.51,459.39,6822406.36,1447453.80,427.19,2.60,"3D",6,"Yes",3.38,3.58,25.00,2,"F"
1211103,"05586","W9403","Grivla (5586)",29-8-2009 13:30:15,29-8-2009 14:30:15,14.81,61.51,463.57,6822476.47,1447437.48,431.37,3.20,"3D",5,"Yes",3.38,3.58,26.00,2,"F"
